Sand 			| Displayed as: Sand
GlassSlag 		| Displayed as: Glass Slag
FrometalEssence		| Displayed as: Frometal Essence
FlametalEssence		| Displayed as: Flametal Essence
GlassBar 		| Displayed as: Glass
HeatedIronBar 		| Displayed as: Heated Iron
HeavymetalBar 		| Displayed as: Heavymetal
Heavyscale 		| Displayed as: Heavyscale
FrometalBar 		| Displayed as: Frometal
Drakescale 		| Displayed as: Drakescale
FlametalBar 		| Displayed as: Flametal
Forgedscale 		| Displayed as: Forgedscale
MistmetalBar 		| Displayed as: Mistmetal
CoinsBone 		| Displayed as: Bone Coins
CoinsTin 		| Displayed as: Tin Coins
CoinsCopper 		| Displayed as: Copper Coins
CoinsBronze 		| Displayed as: Bronze Coins
CoinsIron 		| Displayed as: Iron Coins
CoinsSilver 		| Displayed as: Silver Coins
CoinsBlackmetal 	| Displayed as: BlackMetal Coins
CoinsHeavymetal 	| Displayed as: Heavymetal Coins
CoinsFrometal 		| Displayed as: Frometal Coins
CoinsFlametal 		| Displayed as: Flametal Coins
HammerSilver 		| Displayed as: Soulin's Hammer
HoeSilver 		| Displayed as: Adonis' Hoe
Crossbow 		| Displayed as: Crossbow
torch 			| Displayed as: Adventurer's Torch

BowBone
AtgeirBone
ClubBone
SledgeBone
BattleaxeBone
SpearBone
KnifeBone
MaceBone
SwordBone
ShieldBone
ShieldBoneTower

SledgeBronze 		| Displayed as: Bronze Sledge
BattleaxeBronze 	| Displayed as: Bronze Battleaxe
KnifeBronze 		| Displayed as: Bronze Knife

BowAncient 		| Displayed as: Ancient Bow
AtgeirAncient 		| Displayed as: Ancient Atgeir
ClubAncient 		| Displayed as: Ancient Club
SledgeAncient 		| Displayed as: Ancient Sledge
BattleaxeAncient	| Displayed as: Ancient Battleaxe
SwordAncient 		| Displayed as: Ancient Sword
MaceAncient 		| Displayed as: Ancient Mace
ShieldAncient 		| Displayed as: Ancient Shield
ShieldAncientTower 	| Displayed as: Ancient Tower Shield

SpearIron 		| Displayed as: Iron Spear
KnifeIron 		| Displayed as: Iron Knife

BowAbyssal 		| Displayed as: Abyssal Bow
AtgeirAbyssal 		| Displayed as: Abyssal Atgeir
ClubAbyssal 		| Displayed as: Abyssal Club
SledgeAbyssal 		| Displayed as: Abyssal Sledge
BattleaxeAbyssal	| Displayed as: Abyssal Battleaxe
MaceAbyssal 		| Displayed as: Abyssal Mace
SwordAbyssal 		| Displayed as: Abyssal Sword
ShieldAbyssal 		| Displayed as: Abyssal Shield
ShieldAbyssalTower 	| Displayed as: Abyssal Tower Shield

BowSilver 		| Displayed as: Silver Bow
AtgeirSilver 		| Displayed as: Silver Atgeir
ClubSilver 		| Displayed as: Silver Club
SledgeSilver 		| Displayed as: Silver Sledge
BattleaxeSilver 	| Displayed as: Silver Battleaxe
SpearSilver		| Displayed as: Silver Spear
KnifeSilver 		| Displayed as: Silver Knife
ShieldSilverTower 	| Displayed as: Silver Tower Shield
AxeSilver 		| Displayed as: Silver Axe
PickaxeSilver 		| Displayed as: Silver Pickaxe

BowHeavymetal 		| Displayed as: Heavymetal Bow
ClubHeavymetal 		| Displayed as: Heavymetal Club
SledgeHeavymetal 	| Displayed as: Heavymetal Sledge
BattleaxeHeavymetal 	| Displayed as: Heavymetal Battleaxe
SpearHeavymetal 	| Displayed as: Heavymetal Spear
MaceHeavymetal 		| Displayed as: Heavymetal Mace
PickaxeHeavymetal 	| Displayed as: Heavymetal Pickaxe
SledgeaxeHeavymetal 	| Displayed as: Heavymetal Sledgeaxe

AtgeirFrometal 		| Displayed as: Frometal Atgeir
AxeFrometal 		| Displayed as: Frometal Axe
BowFrometal 		| Displayed as: Frometal Bow
SledgeFrometal 		| Displayed as: Frometal Sledge
BattleaxeFrometal 	| Displayed as: Frometal Battleaxe
